,HPO-library,HPO-method,ML-algorithm,run_id,random_seed,eval_count,losses,timestamps,configurations,run_successful,warmstart,runs,evaluations,workers
0,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,1,40880.049878621394,1.641357,"{'max_depth': 79, 'max_features': 'auto', 'min_samples_leaf': 30, 'min_samples_split': 6, 'n_estimators': 52}",True,False,3,120,4
1,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,2,34395.35477330934,3.24954,"{'max_depth': 13, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 97}",True,False,3,120,4
2,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,3,43944.63473500102,3.319197,"{'max_depth': 41, 'max_features': 'sqrt', 'min_samples_leaf': 23, 'min_samples_split': 14, 'n_estimators': 195}",True,False,3,120,4
3,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,4,35829.356058479636,3.990417,"{'max_depth': 9, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 137}",True,False,3,120,4
4,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,5,37367.03653002739,4.032279,"{'max_depth': 22, 'max_features': 'auto', 'min_samples_leaf': 12, 'min_samples_split': 11, 'n_estimators': 198}",True,False,3,120,4
5,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,6,42166.53339745944,5.521591,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 13, 'n_estimators': 189}",True,False,3,120,4
6,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,7,35509.434561450704,5.67609,"{'max_depth': 27, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 47}",True,False,3,120,4
7,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,8,39086.77384239179,6.410051,"{'max_depth': 22, 'max_features': 'auto', 'min_samples_leaf': 19, 'min_samples_split': 12, 'n_estimators': 150}",True,False,3,120,4
8,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,9,58570.647056496826,6.669834,"{'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 20, 'min_samples_split': 13, 'n_estimators': 100}",True,False,3,120,4
9,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,10,35522.48498450545,8.406596,"{'max_depth': 53, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 19, 'n_estimators': 187}",True,False,3,120,4
10,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,11,34723.6581694269,8.722975,"{'max_depth': 67, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 54}",True,False,3,120,4
11,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,12,41634.95947932895,8.824688,"{'max_depth': 63, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 3, 'n_estimators': 5}",True,False,3,120,4
12,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,13,36620.355182767795,9.907491,"{'max_depth': 59, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 159}",True,False,3,120,4
13,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,14,36809.027794488145,9.93479,"{'max_depth': 31, 'max_features': 'auto', 'min_samples_leaf': 7, 'min_samples_split': 15, 'n_estimators': 123}",True,False,3,120,4
14,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,15,36890.9502259562,10.815936,"{'max_depth': 78, 'max_features': 'auto', 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 76}",True,False,3,120,4
15,optuna,TPE,RandomForestRegressor,6ec6cee2-1e79-410f-8d7b-14ac6e4e6c3b,0,16,36710.777908769676,11.108732,"{'max_depth': 77, 'max_features': 'auto', 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 73}",True,False,3,120,4
