,HPO-library,HPO-method,ML-algorithm,Runs,Evaluations,Workers,Warmstart,Wall clock time [s],t outperform default [s],Area under curve (AUC),Mean(best loss),Loss ratio,Interquartile range(best_loss),t best configuration [s],Evaluations for best configuration,Crashes
1,optuna,TPE,RandomForestRegressor,3,40,4,False,20.281423,inf,35486.190761858095,33730.16801742503,0.967150372817329,523.1672955559625,19.465352,39,0
2,optuna,RandomSearch,RandomForestRegressor,3,40,4,False,23.808128333333332,inf,35787.03345559735,34083.23565009867,0.9571316792849542,802.1637908720804,23.261591,39,0
