,HPO-library,HPO-method,ML-algorithm,time_outperform_default,AUC,best_mean_loss,loss_ratio,std_dev_best_loss,time_best_config,evals_best_config
1,hyperopt,TPE,RandomForestRegressor,inf,34980.70577465684,34516.33363053779,0.9695686292039482,710.9774217909379,21.925240516662598,23
2,skopt,SMAC,RandomForestRegressor,inf,35400.50147560655,34161.542176915245,0.9796382759886457,1637.2190080491853,37.02068559328715,27
3,hpbandster,BOHB,RandomForestRegressor,inf,37893.68970688539,35016.69751217921,0.9557141781193619,1137.1171305944179,47.72834507624308,64
4,hpbandster,Hyperband,RandomForestRegressor,inf,37478.23016564453,35601.44954827724,0.940016620332418,773.7541641787532,22.70896355311076,44
