,HPO-library,HPO-method,ML-algorithm,Runs,Evaluations,Workers,time_outperform_default,AUC,best_mean_loss,loss_ratio,std_dev_best_loss,time_best_config,evals_best_config
1,hyperopt,TPE,RandomForestRegressor,5,45,1,inf,35285.76727332076,34264.51895989267,0.9990782809788633,253.80957107580198,44.52760410308838,40
2,skopt,SMAC,RandomForestRegressor,5,45,1,27.542314434051512,34777.7776430216,33302.79218965131,1.0279299256971905,543.0015699936188,79.1465991973877,45
3,hpbandster,BOHB,RandomForestRegressor,5,45,1,inf,36809.0138124981,35400.43764578801,0.9670201550485724,783.9267030961034,53.53623733520508,78
4,optuna,RandomSearch,RandomForestRegressor,5,45,1,inf,35619.81278323234,34937.323963187795,0.9798385456506989,616.429305471542,30.767711687088013,31
