;HPO-library;HPO-method;ML-algorithm;time_outperform_default;AUC;best_mean_loss;loss_ratio;std_dev_best_loss;time_best_config;evals_best_config
1;hyperopt;TPE;RandomForestRegressor;inf;34685,9195;33749,68835;0,991558002;414,2419674;91,20935464;45
2;optuna;RandomSearch;RandomForestRegressor;inf;35848,69956;35168,41098;0,951557737;501,8147924;45,43626269;31
3;hpbandster;BOHB;RandomForestRegressor;inf;37686,7636;35728,73537;0,936634706;467,8387957;104,0006434;80
