,HPO-library,HPO-method,ML-algorithm,Runs,Evaluations,Workers,t outperform default [s],Area under curve (AUC),Mean(best loss),Loss ratio,Interquartile range(best_loss),t best configuration [s],Evaluations for best configuration,Crashes
1,optuna,CMA-ES,RandomForestRegressor,5,120,4,38.2747374,34298.04511593255,33175.143589212064,1.0201284663666146,326.32609559111734,76.4682512,109,0
2,skopt,SMAC,RandomForestRegressor,5,120,4,15.32654767036438,33480.54870503902,32570.50617984475,1.0390660852577651,1063.2540183978635,82.82813777923585,111,0
3,optuna,RandomSearch,RandomForestRegressor,5,120,4,17.1925838,33696.081281656356,32984.65521950738,1.0260197696758149,335.05674941484904,100.70525599999999,118,0
4,hpbandster,BOHB,RandomForestRegressor,5,120,4,inf,35581.28172497638,33920.73847418412,0.9977055298165685,298.78373835788807,73.27940587997436,256,0
