,HPO-library,HPO-method,ML-algorithm,Runs,Evaluations,Workers,Warmstart,Wall clock time [s],t outperform default [s],Area under curve (AUC),Mean(best loss),Loss ratio,Interquartile range(best_loss),t best configuration [s],Evaluations for best configuration,Crashes
1,optuna,CMA-ES,RandomForestRegressor,5,120,4,False,89.2708754,58.6214066,33928.62167418245,33465.634067596184,1.0001352750308121,30.689040473356727,64.8949374,86,0
2,skopt,SMAC,RandomForestRegressor,5,120,4,False,88.50861053466797,33.20589070320129,33856.99621295613,32908.08448563227,1.0170801994533882,449.2014367401207,79.80768051147462,107,0
3,optuna,RandomSearch,RandomForestRegressor,5,120,4,False,99.59441480000001,inf,34234.12628204461,33484.13022507048,0.9995828145243505,273.78742546877766,99.59441480000001,120,0
4,hpbandster,BOHB,RandomForestRegressor,5,120,4,False,60.00514869689941,inf,35793.86876586108,34136.97809148703,0.9804664326928958,987.6080177650292,60.00514869689941,273,0
